ilosc,nazwaUczelni,nazwaKierunku,nazwaStopnia
3,UNIWERSYTET WARSZAWSKI                                                                                                                                                                                                                                         ,Energetyka i chemia jądrowa,Studia pierwszego stopnia
3,UNIWERSYTET WARSZAWSKI                                                                                                                                                                                                                                         ,Informatyka,Studia drugiego stopnia
3,UNIWERSYTET WROCŁAWSKI                                                                                                                                                                                                                                         ,Filologia,Studia pierwszego stopnia
3,UNIWERSYTET WROCŁAWSKI                                                                                                                                                                                                                                         ,Studia środkowo-wschodnioeuropejskie,Studia pierwszego stopnia
3,UNIWERSYTET WROCŁAWSKI                                                                                                                                                                                                                                         ,Socjologia grup dyspozycyjnych,Studia drugiego stopnia
3,UNIWERSYTET ZIELONOGÓRSKI                                                                                                                                                                                                                                      ,Literatura popularna i kreacja światów gier,Studia pierwszego stopnia
3,UNIWERSYTET ZIELONOGÓRSKI                                                                                                                                                                                                                                      ,Inżynieria danych,Studia drugiego stopnia
3,UNIWERSYTET ZIELONOGÓRSKI                                                                                                                                                                                                                                      ,Matematyka,Studia drugiego stopnia
3,WARSZAWSKA SZKOŁA FILMOWA                                                                                                                                                                                                                                      ,Aktorstwo nowych mediów,Studia pierwszego stopnia
3,WARSZAWSKA SZKOŁA FILMOWA                                                                                                                                                                                                                                      ,Aktorstwo nowych mediów,Studia pierwszego stopnia
3,WYŻSZA SZKOŁA BANKOWA W WARSZAWIE                                                                                                                                                                                                                              ,Informatyka,Studia pierwszego stopnia
3,WYŻSZA SZKOŁA BANKOWA W WARSZAWIE                                                                                                                                                                                                                              ,Informatyka,Studia pierwszego stopnia
3,WYŻSZA SZKOŁA GOSPODARKI KRAJOWEJ W KUTNIE                                                                                                                                                                                                                     ,Ratownictwo medyczne,Studia pierwszego stopnia
3,WYŻSZA SZKOŁA INŻYNIERII GOSPODARKI W SŁUPSKU                                                                                                                                                                                                                  ,Geodezja i kartografia,Studia pierwszego stopnia
3,WYŻSZA SZKOŁA MEDYCZNA W BIAŁYMSTOKU                                                                                                                                                                                                                           ,Biotechnologia,Studia pierwszego stopnia
3,WYŻSZA SZKOŁA TECHNOLOGII INFORMATYCZNYCH W KATOWICACH                                                                                                                                                                                                         ,Informatyka,Studia pierwszego stopnia
3,ZACHODNIOPOMORSKI UNIWERSYTET TECHNOLOGICZNY W SZCZECINIE                                                                                                                                                                                                      ,Projektowanie architektury wnętrz i otoczenia,Studia pierwszego stopnia
3,ZACHODNIOPOMORSKI UNIWERSYTET TECHNOLOGICZNY W SZCZECINIE                                                                                                                                                                                                      ,Wzornictwo,Studia drugiego stopnia
4,AKADEMIA EKONOMICZNO-HUMANISTYCZNA W WARSZAWIE                                                                                                                                                                                                                 ,Zarządzanie,Studia pierwszego stopnia
4,AKADEMIA EKONOMICZNO-HUMANISTYCZNA W WARSZAWIE                                                                                                                                                                                                                 ,Zarządzanie,Studia drugiego stopnia
4,AKADEMIA EKONOMICZNO-HUMANISTYCZNA W WARSZAWIE                                                                                                                                                                                                                 ,Zarządzanie,Studia pierwszego stopnia
4,AKADEMIA EKONOMICZNO-HUMANISTYCZNA W WARSZAWIE                                                                                                                                                                                                                 ,Zarządzanie,Studia drugiego stopnia
4,AKADEMIA GÓRNICZO-HUTNICZA IM. STANISŁAWA STASZICA W KRAKOWIE                                                                                                                                                                                                  ,Edukacja techniczno-informatyczna,Studia drugiego stopnia
4,AKADEMIA HUMANISTYCZNO-EKONOMICZNA W ŁODZI                                                                                                                                                                                                                     ,Filologia (filologia germańska),Studia drugiego stopnia
4,AKADEMIA IGNATIANUM W KRAKOWIE                                                                                                                                                                                                                                 ,Dziennikarstwo i komunikacja społeczna,Studia drugiego stopnia
4,AKADEMIA KATOLICKA W WARSZAWIE                                                                                                                                                                                                                                 ,Pedagogika chrześcijańska,Studia pierwszego stopnia
4,AKADEMIA KATOLICKA W WARSZAWIE                                                                                                                                                                                                                                 ,Politologia,Studia pierwszego stopnia
4,AKADEMIA KATOLICKA W WARSZAWIE                                                                                                                                                                                                                                 ,Pedagogika chrześcijańska,Studia pierwszego stopnia
4,AKADEMIA KATOLICKA W WARSZAWIE                                                                                                                                                                                                                                 ,Politologia,Studia pierwszego stopnia
4,AKADEMIA MUZYCZNA IM. KAROLA LIPIŃSKIEGO WE WROCŁAWIU                                                                                                                                                                                                          ,Kompozycja i teoria muzyki,Studia drugiego stopnia
4,AKADEMIA MUZYCZNA W KRAKOWIE                                                                                                                                                                                                                                   ,Kompozycja i teoria muzyki,Studia drugiego stopnia
4,AKADEMIA POMORSKA W SŁUPSKU                                                                                                                                                                                                                                    ,Historia,Studia drugiego stopnia
4,AKADEMIA POMORSKA W SŁUPSKU                                                                                                                                                                                                                                    ,Biologia,Studia pierwszego stopnia
4,AKADEMIA SZTUK PIĘKNYCH IM. EUGENIUSZA GEPPERTA WE WROCŁAWIU                                                                                                                                                                                                   ,Scenografia,Studia magisterskie jednolite
4,AKADEMIA SZTUK PIĘKNYCH IM. EUGENIUSZA GEPPERTA WE WROCŁAWIU                                                                                                                                                                                                   ,Sztuka i wzornictwo szkła,Studia drugiego stopnia
4,AKADEMIA SZTUK PIĘKNYCH IM. WŁADYSŁAWA STRZEMIŃSKIEGO W ŁODZI                                                                                                                                                                                                  ,Edukacja artystyczna w zakresie sztuk plastycznych,Studia drugiego stopnia
4,AKADEMIA SZTUK PIĘKNYCH W GDAŃSKU                                                                                                                                                                                                                              ,Rzeźba,Studia magisterskie jednolite
4,AKADEMIA SZTUK PIĘKNYCH W WARSZAWIE                                                                                                                                                                                                                            ,Historia sztuki,Studia drugiego stopnia
4,AKADEMIA SZTUK PIĘKNYCH W WARSZAWIE                                                                                                                                                                                                                            ,Historia sztuki,Studia drugiego stopnia
4,AKADEMIA TECHNICZNO-HUMANISTYCZNA W BIELSKU-BIAŁEJ                                                                                                                                                                                                             ,Filologia (filologia angielska),Studia drugiego stopnia
4,AKADEMIA WYCHOWANIA FIZYCZNEGO WE WROCŁAWIU                                                                                                                                                                                                                    ,Fizjoterapia,Studia pierwszego stopnia
4,BYDGOSKA SZKOŁA WYŻSZA                                                                                                                                                                                                                                         ,Zdrowie publiczne,Studia pierwszego stopnia
4,DOLNOŚLĄSKA SZKOŁA WYŻSZA WE WROCŁAWIU                                                                                                                                                                                                                         ,Praca socjalna,Studia drugiego stopnia
4,KATOLICKI UNIWERSYTET LUBELSKI JANA PAWŁA II                                                                                                                                                                                                                   ,Inżynieria materiałowa,Studia pierwszego stopnia
4,KATOLICKI UNIWERSYTET LUBELSKI JANA PAWŁA II                                                                                                                                                                                                                   ,Prawo,Studia magisterskie jednolite
4,KRAKOWSKA AKADEMIA IM. ANDRZEJA FRYCZA MODRZEWSKIEGO                                                                                                                                                                                                           ,Administracja,Studia pierwszego stopnia
4,MAŁOPOLSKA UCZELNIA PAŃSTWOWA IM. ROTMISTRZA WITOLDA PILECKIEGO W OŚWIĘCIMIU                                                                                                                                                                                   ,Praca socjalna,Studia pierwszego stopnia
4,OLSZTYŃSKA SZKOŁA WYŻSZA                                                                                                                                                                                                                                       ,Fizjoterapia,Studia pierwszego stopnia
